time,number,weekday,isRest,severity,priority,severity_num,priority_num,category,number,category,interval,,,
2008/4/14,183,2,0,3.994535519,0.202185792,13,9,3,,,,,,
2008/4/15,177,3,0,4.11299435,0.15819209,18,6,3,,,,,,
2008/4/16,169,4,0,3.834319527,0.378698225,17,15,2,,,,,,
2008/4/17,151,5,0,3.748344371,0.198675497,9,7,2,,,,,,
2008/4/18,170,6,0,4.064705882,0.170588235,14,7,3,,,,,,
2008/4/19,106,7,1,4.028301887,0.216981132,11,6,1,,,,,,
2008/4/20,87,1,1,3.701149425,0.103448276,6,2,1,,,,,,
2008/4/21,210,2,0,3.871428571,0.20952381,16,10,3,,,,,,
2008/4/22,182,3,0,3.873626374,0.324175824,10,13,3,,,,,,
2008/4/23,189,4,0,3.947089947,0.174603175,14,8,3,,,,,,
2008/4/24,142,5,0,3.746478873,0.253521127,7,8,2,,,,,,
2008/4/25,147,6,0,4.095238095,0.401360544,13,15,2,,,,,,
2008/4/26,90,7,1,3.911111111,0.277777778,3,6,1,,,,,,
2008/4/27,100,1,1,3.91,0.15,10,4,1,,,,,,
2008/4/28,157,2,0,4.146496815,0.280254777,21,11,2,,,,,,
2008/4/29,175,3,0,3.754285714,0.274285714,12,12,3,,,,,,
2008/4/30,138,4,0,4.079710145,0.507246377,15,16,2,,,,,,
2008/5/1,165,5,0,3.951515152,0.327272727,19,14,2,,,,,,
2008/5/2,151,6,0,3.821192053,0.61589404,12,22,2,,,,,,
2008/5/3,106,7,1,4.160377358,0.141509434,17,4,1,,,,,,
2008/5/4,100,1,1,3.91,0.28,7,7,1,,,,,,
2008/5/5,176,2,0,4.096590909,0.414772727,17,18,3,,,,,,
2008/5/6,170,3,0,4.023529412,0.341176471,15,15,3,,,,,,
2008/5/7,166,4,0,3.801204819,0.289156627,10,12,2,,,,,,
2008/5/8,170,5,0,3.788235294,0.229411765,12,9,3,,,,,,
2008/5/9,170,6,0,3.9,0.182352941,9,7,3,,,,,,
2008/5/10,78,7,1,3.58974359,0.064102564,6,1,1,,,,,,
2008/5/11,82,1,1,3.93902439,0.219512195,8,4,1,,,,,,
2008/5/12,138,2,0,4.050724638,0.492753623,13,17,2,,,,,,
2008/5/13,172,3,0,3.936046512,0.325581395,19,13,3,,,,,,
2008/5/14,153,4,0,3.823529412,0.405228758,8,13,2,,,,,,
2008/5/15,165,5,0,3.963636364,1.024242424,17,39,2,,,,,,
2008/5/16,110,6,0,4.163636364,0.2,14,5,1,,,,,,
2008/5/17,143,7,1,4.118881119,0.083916084,15,3,2,,,,,,
2008/5/18,160,1,1,3.9125,0.10625,12,4,2,,,,,,
2008/5/19,218,2,0,4.114678899,0.224770642,20,11,3,,,,,,
2008/5/20,227,3,0,3.942731278,0.466960352,12,24,3,,,,,,
2008/5/21,183,4,0,4.103825137,0.300546448,20,12,3,,,,,,
2008/5/22,203,5,0,3.881773399,0.571428571,16,27,3,,,,,,
2008/5/23,149,6,0,3.832214765,0.402684564,14,13,2,,,,,,
2008/5/24,76,7,1,4.065789474,0.092105263,5,2,1,,,,,,
2008/5/25,86,1,1,3.930232558,0.069767442,8,1,1,,,,,,
2008/5/26,106,2,0,3.905660377,0.113207547,11,3,1,,,,,,
2008/5/27,167,3,0,3.988023952,0.323353293,8,11,2,,,,,,
